date,series,part,title,pov,contact,skin,mood,script,cta,description,hashtags,pinned
2026-09-16,Group Chat Chaos,,My family turned on each other over cake 🎂,,Family,,,"Mom: Who ate the cake.
Dad: what cake
Sis: it wasn't me
Bro: i was at practice
Mom: It was for Grandma's birthday. TONIGHT.
Dad: there was cake?
Me: i was at work mom
Mom: The dog cannot open the fridge.
[typing 3]
Sis: he opened the fridge
Bro: legend
[boom]
Mom: THAT DOG IS GROUNDED.
Dad: he says worth it
Mom: Dad is also grounded.
[react 😂]",Who's grounded in your family? 🎂,Grandma's birthday cake vanished from the fridge. Four suspects. The dog had frosting on his face.,#textstory #chatstory #groupchat #family #funny,Team Dog or Team Mom? 👇
2026-09-17,Last Message,,I texted my dad's old number. Try not to cry. 📱,Me,Dad,,,"Me: hey dad. i know you can't read this.
Me: i got the job. the one you said i'd get.
Me: i wore your tie.
[pause 2]
[typing 3]
Stranger: I got this number last month.
Stranger: I've read every message. I didn't know how to reply.
Me: oh. i'm so sorry. i'll stop.
[seen]
[pause 1.5]
Stranger: Please don't.
[boom]
Stranger: My dad passed in March. I read yours out loud to him.
Stranger: Congratulations on the job.
Me: thank you. really.
Stranger: He'd be proud. Both of them would.
[react ❤️]",Who would you text one more time? 💙,"I still text my dad's old number. Last week, for the first time, someone answered.",#textstory #chatstory #emotional #dad #storytime,"If you could send one more text, what would it say? 👇"
2026-09-18,Roommate Notes,,I found out why my food kept disappearing 🥄,,Roommate,,sad,"Roommate: It was me. The yoghurts.
Me: i KNEW it
Me: thats like six over two weeks
Roommate: Seven. I'll pay you back Friday.
Me: its fine its like 4 quid
Roommate: It isn't fine.
[typing 3]
Me: mate whats friday
Roommate: Payday. First one since August.
[seen]
[pause 1.5]
[boom]
Roommate: I didn't want to ask. Yoghurt felt smaller than asking.
Me: theres pasta in my cupboard. take it.
Roommate: I'll pay you Friday.
Me: no you wont
[react ❤️]",Would you have asked?,Seven yoghurts vanished from the fridge in two weeks. He finally confronted his flatmate about it and wished he had done it sooner.,#textstory #chatstory #sad #storytime,Asking is the hardest part. 👇
2026-09-19,Texts From Mom,,My mum saw what I saved her as 😬,,Mom,,,"Mom: Your phone says DO NOT ANSWER when I call.
Me: mom
Mom: I saw it. You left it on the counter.
Me: it's a joke
Mom: I'm changing my name in your phone.
Me: to what
[typing 2]
Mom: Landlord.
Me: why
Mom: Because you live in my house rent free and you WILL answer.
Me: ok that's fair
[boom]
Mom: I also changed your father to Wifi.
Me: why wifi
Mom: He also gets ignored until something breaks.
[react 😂]",What's your mom saved as? 📱,Mom found out what she's saved as in my phone. She fixed it. Dad's contact didn't survive either.,#textstory #chatstory #momtexts #funny #storytime,Drop what your mom is saved as in your phone 👇
2026-09-20,Dad Jokes Inc,,My dad has a terrible sense of humour 🚨,,Dad,,,"Dad: Your mother is missing.
Me: WHAT
Dad: I've looked everywhere.
Me: did you call her
Dad: She's not answering.
Me: dad i'm calling 911
[typing 3]
Dad: Wait.
[pause 1.5]
Dad: Found her.
Me: WHERE
Dad: Behind me. She's been here the whole time.
Me: you said she was MISSING
[boom]
Dad: I meant Tom. Autocorrect.
Me: you scared me to death over a CAT
Dad: Tom is family. Also I found my glasses. They were on my head.
[react 😂]",Does your dad do this? 😂,Dad texted that Mom was missing. I was dialing 911. Then he found her. Behind him.,#textstory #chatstory #dadjokes #dadtexts #funny,Worst thing autocorrect has done to your family? 👇
2026-09-21,Wrong Number,,A stranger's proud mum text came to me 🎓,,Stranger,,,"Stranger: Mom I got into Michigan!!!
Me: i think you have the wrong number. but CONGRATS
Stranger: oh no. sorry. her number changed.
Stranger: she's not really the type to reply anyway.
Me: well i am. tell me everything.
Stranger: full scholarship. first one in my family.
Me: i'm so proud of you. wrong-number mom is SO proud.
[react ❤️]
[time Four years later]
Stranger: Wrong-number mom. I graduated today.
Me: I KNOW
Stranger: how
[boom]
Me: third row. blue jacket. i've been here since 7.
Stranger: i can see you. i'm crying on stage.
Me: cry later. go get your diploma.
[react ❤️]",Would you have replied? 🎓,"A stranger texted the wrong number with the biggest news of their life. Four years later, I was in the third row.",#textstory #chatstory #wrongnumber #wholesome #storytime,Tell us about a stranger who was kind to you 👇
2026-09-22,Little Brother Logic,,My little brother sent me an invoice 🐴,,Kid,,,"Kid: i need 300 dollars
Me: for what
Kid: a horse
Me: no
Kid: half a horse
Me: no
Kid: i already told the horse
Me: what horse
[typing 2]
Me: WHERE DID YOU GET A HORSE
Kid: the neighbor. he said i can keep him if i pay 300
Me: that's a rental. give him back.
Kid: his name is steve. he ate moms flowers
Me: mom is going to lose it
[boom]
Kid: moms home. steve is in the kitchen
Me: WHY IS STEVE IN THE KITCHEN
Kid: he was cold
[react 😂]",Would you pay for Steve? 🐴,My little brother asked me for $300. For a horse. He had already told the horse.,#textstory #chatstory #siblings #kids #funny,Name a better horse than Steve. You can't. 👇
2026-09-23,Texts From Mom,,My mum has never sent me this before 🏠,,Mom,,,"Mom: Don't come home tonight.
Me: why
Mom: Stay at Jake's.
Me: mom what's going on
Mom: Please just do what I ask.
[seen]
[pause 2]
Me: is it dad
Mom: Your father is fine.
Me: then WHAT
[typing 3]
Mom: The surprise party is at 7 and you keep coming home early.
Me: ...
Mom: Act surprised. Wear the blue shirt.
Me: i'm 19 not 5
[boom]
Mom: Your grandmother flew in from Florida. Be 5.
Me: ok. i'll be 5.
Mom: Good. She bought a piñata.
[react ❤️]",Would you have guessed? 🎉,Mom texted me not to come home tonight and wouldn't say why. I thought the worst.,#textstory #chatstory #momtexts #surprise #wholesome,Best surprise anyone's thrown for you? 👇
2026-09-24,Group Chat Chaos,,My dad sent that to the FAMILY chat 🌹,,Family,,,"Dad: I love you, beautiful. On my way.
Sis: dad??
Bro: who is beautiful
Mom: That was for me.
Dad: that was for your mother
Bro: prove it
[typing 3]
Mom: Those are for me?
Dad: yes
Sis: he's been carrying those around since 4pm
Mom: I love you too.
[boom]
Mom: Also this group chat has 14 people in it.
Dad: why are there 14 people
Bro: grandma says hi
Sis: uncle ray says get a room
[react 😂]",Would your dad survive this? 🌹,Dad sent a text meant for Mom to the family group chat. Fourteen people saw it.,#textstory #chatstory #groupchat #family #funny,Worst thing sent to your family chat? 👇
2026-09-25,Last Message,,She asked me to stop doing this 💙,,Marcus's Mum,,,"Bestie: Happy birthday to my boy. Six years today.
Me: happy birthday marcus
Bestie: You're the only one who still replies.
Me: i set a reminder the year after
Bestie: I know. I check every year to see if it goes off.
[typing 3]
Bestie: I need to ask you something and it's going to sound awful.
Me: ask
[seen]
[pause 1.5]
[boom]
Bestie: Can you stop? I want to remember him without waiting for a phone.
Me: ok
Me: can i come round instead
Bestie: Yes. Please. Bring the photo.
[react 💙]",Should he have stopped?,"Every year on his best friend's birthday, his best friend's mother texts him. This year she asked him for something he did not expect.",#textstory #chatstory #sad #storytime,She wasn't pushing him away. 👇
2026-09-26,"Mr. Reyes, 3rd Period",,My teacher noticed something nobody else did 📚,,Mr. Reyes,,sad,"Teacher: You've missed four Tuesday tests. Only Tuesdays.
Me: ive been sick
Teacher: On Tuesdays.
Me: yeah
Teacher: For eleven weeks.
[typing 3]
Me: can we not do this
Teacher: Your mum works Tuesday nights, doesn't she.
[seen]
[pause 1.5]
[boom]
Teacher: Somebody has to get your sister to school. It's you.
Me: please dont tell anyone
Teacher: I'm moving the tests to Thursday. That's all.
[react 😭]",Did he do the right thing?,He missed eleven tests in a row and gave the same excuse every time. His teacher stopped believing it after the second one.,#textstory #chatstory #sad #school #storytime,Every kid needs one teacher like this. 👇
2026-09-27,Dog Sitter Updates,,My dog has been living a double life 🔔,,Neighbor,,,"Neighbor: Your dog is at my house.
Me: what?? he's in the yard
Neighbor: He was. Now he's on my couch watching golf.
Me: HOW
Neighbor: He rang the doorbell.
Me: he can't ring a doorbell
[typing 2]
Neighbor: Four days in a row. Three o'clock sharp.
Me: i'm so sorry. i'll fix the fence.
[seen]
[pause 1.5]
Neighbor: Don't.
[boom]
Neighbor: My wife passed in June. She came home at three every day.
Neighbor: He shows up at three.
Me: he can stay as long as you want
Neighbor: Tell him golf's on at three tomorrow.
[react ❤️]",Dogs know. Agree? 🐕,My neighbor texted that my dog keeps ringing his doorbell at 3 PM. Then he told me why he lets him in.,#textstory #chatstory #dogs #emotional #wholesome,Tell us about a dog that knew 👇
2026-09-28,Boss Texted at 11 PM,,I quit my job in four texts 😳,,Boss,,,"Boss: Where are you? Meeting started 10 minutes ago.
Me: it's saturday
Boss: Exactly.
Me: i don't work saturdays
Boss: Everyone works Saturdays now. Be here in 20.
Me: no
[seen]
[pause 2]
Boss: Excuse me?
Me: i quit.
[typing 3]
[boom]
Boss: Wrong number, kid. This is your dad. But I respect the spirit.
Me: DAD??
Boss: Your mother changed my contact name. Breakfast is ready.
Me: why does it say BOSS
Boss: Because I am. Pancakes are getting cold.
[react 😂]",Would you have quit? 😅,My boss texted me on a Saturday to come in. I quit on the spot. It wasn't my boss.,#textstory #chatstory #boss #plottwist #funny,What is your dad saved as in your phone? 👇
2026-09-29,Grandma Learns Texting,,My grandma went viral and cannot cope 🍖,,Grandma,,,"Grandma: I AM ON THE FACEBOOK
Me: nice grandma
Grandma: I POSTED A PICTURE
Me: of what
Grandma: MY DINNER
Me: cool
Grandma: IT HAS 4000 LIKES
Me: what??
Me: grandma that's not your page
Grandma: THE MEATLOAF IS FAMOUS
[typing 2]
Me: you posted it on my company's page. my boss commented.
[boom]
Grandma: THEN YOUR BOSS LIKES MEATLOAF
Me: he asked for the recipe
Grandma: TELL HIM SUNDAY 6PM. BRING A PLATE.
[react 😂]",Would you go to Sunday dinner? 🍖,Grandma posted her meatloaf on Facebook. On my company's page. It went viral.,#textstory #chatstory #grandma #funny #storytime,Rate the meatloaf 1-10 👇
2026-09-30,Roommate Notes,,My flatmate texted me at 3am terrified 🔑,,Roommate,,,"Roommate: Did you move my stuff?
Me: no i'm at work
Roommate: My keys were on the hook. Now they're on the table.
Me: i didn't touch them
Roommate: The window's open.
Me: i didn't open it
[pause 1.5]
Roommate: Someone's in here.
Me: CALL 911
Roommate: They're in the bathroom. I can hear water.
[typing 3]
[boom]
Roommate: It's a raccoon. It's using my loofah.
Me: how did it get IN
Roommate: It has my keys.
[react 😂]",Would you have screamed? 🦝,My roommate texted that someone was in our apartment. He could hear the shower running.,#textstory #chatstory #roommate #plottwist #funny,Name the raccoon 👇
2026-10-01,Texts From Mom,,My mum told me to stay in my room 🚪,,Mom,,,"Mom: Are you home?
Me: yes why
Mom: Don't go downstairs.
Me: mom you're scaring me
Mom: Lock your door. I'm five minutes away.
Me: WHAT IS DOWNSTAIRS
[seen]
[pause 2]
Me: mom i can hear something moving
Mom: I know.
[typing 3]
[boom]
Mom: It's your birthday puppy. He's not supposed to be out of the box yet.
Me: ...
Mom: He found your shoes. Happy birthday.
Me: i'm going downstairs
Mom: Act surprised. Your father is filming.
[react ❤️]",Would you have gone downstairs? 🐶,Mom texted me not to go downstairs and to lock my door. I could hear something moving.,#textstory #chatstory #momtexts #plottwist #wholesome,Name the puppy 👇
2026-10-02,Wrong Number,,A wrong number gave me the best news 🐕,,Stranger,,,"Stranger: Is this Mark? Your dog is at the shelter.
Me: wrong number sorry
Stranger: Oh. My mistake.
Me: wait. what dog
Stranger: Brown lab. Tag says Mark. Found on Route 9.
[typing 2]
Me: is it this one
Stranger: Yes?? How did you
Me: that's Bear. he went missing in 2023.
[seen]
[pause 2]
Stranger: The tag says Mark.
Me: mark is my dad. that's the vet's old number.
[boom]
Me: i'm coming right now. don't let him go anywhere.
Stranger: He's been sitting at the door since I texted.
[react ❤️]",Do dogs remember? 🐾,A wrong-number text said a dog named Mark was at the shelter. I lost a dog three years ago.,#textstory #chatstory #wrongnumber #dogs #emotional,Tell us about a pet that came home 👇
2026-10-03,Last Message,,My grandad set these to send after he died 😭,,Grandpa,,,"Grandpa: Happy birthday kiddo. Eighteen. Wow.
Me: grandpa??
Grandpa: If you're reading this, I scheduled it before the surgery.
Me: how
Grandpa: Your cousin showed me. I made ten.
[seen]
[pause 2]
Me: ten?
[typing 3]
Grandpa: One for every birthday until you're 27. Then you're on your own.
Me: i miss you so much
[boom]
Grandpa: Eat cake. Call your mother. She's been crying since six.
Me: i will. i promise.
Grandpa: Good. See you next year.
[react ❤️]",Who would you schedule texts for? 💙,On my 18th birthday I got a text from my grandpa. He passed last spring. He'd planned ahead.,#textstory #chatstory #emotional #grandpa #storytime,Hug someone today. Then tell us who 👇
2026-10-04,Group Chat Chaos,,We nearly called the police about my nan 🎰,,Family,,sad,"Mom: She's not answering. Six hours now.
Dad: Ring the bingo hall.
Sis: Already did. She left at two.
Mom: I'm calling the police.
[typing 3]
Bro: Found her. She's fine. Don't ring anyone.
Mom: WHERE
Bro: Dad's allotment.
[seen]
[pause 1.8]
[boom]
Bro: She's been going every Tuesday since he died. She just sits there.
Mom: Six years.
Bro: She said she didn't want to make a fuss.
[react 😭]",Would you have known?,She vanished for six hours and would not pick up the phone. The family were about to call the police when her grandson found her.,#textstory #chatstory #sad #grandma #storytime,She never told a single one of them. 👇
2026-10-05,Texts From Mom,,My mum is posting about me online 🧺,,Mom,,,"Mom: I started a TikTok about your laundry.
Me: what
Mom: Things I find in your pockets. 300,000 followers.
Me: MOM
Mom: Today's episode: one sock, a receipt for a $40 candle, a napkin with a phone number.
Me: that's private
Mom: It's public now. The comments want to know about the candle.
Me: it was a gift
Mom: For who.
[seen]
[pause 2]
Me: for you. it's in my closet. for your birthday.
[typing 3]
[boom]
Mom: I'm posting that too. It'll do ten million.
Me: you're unbelievable
Mom: I'm verified. You're not.
[react 😂]",Would you let her post it? 📱,"Mom has 300,000 followers. Her whole page is things she finds in my pockets. Today she found the receipt.",#textstory #chatstory #momtexts #funny #storytime,What has your mom found in your pockets? 👇
2026-10-06,Last Message,,My dad forgot my name but not the score 💙,,Dad,,,"Dad: Who's winning. Don't lie to me.
Me: were down 2 dad
Dad: Rubbish defending. Same as '98.
Me: you remember 98
Dad: I remember every one of them.
[typing 3]
Me: the nurse says you had a rough morning
Dad: Who is this again, son?
[seen]
[pause 1.8]
[boom]
Dad: Doesn't matter. Sit down, it's about to go to penalties.
Me: im already sat down
Dad: Good lad. We watch it together.
[react 💙]",Would you correct him?,He forgets which son he is talking to. He has never once forgotten a single match they watched together.,#textstory #chatstory #sad #dadtexts #storytime,Don't correct him. Just watch the match. 👇
2026-10-07,Grandma Learns Texting,,My grandma texted the wrong grandchild 😭,,Grandma,,,"Grandma: GOOD MORNING DANIEL. DID YOU EAT
Me: grandma im not daniel im leo
Grandma: OH. SORRY LOVE. WRONG BUTTON AGAIN
Me: thats like the fifth time this month
Grandma: MY THUMBS ARE OLD
[typing 3]
Me: grandma daniels number is nowhere near mine in your phone
Grandma: NO IT ISN'T.
[seen]
[pause 1.5]
[boom]
Grandma: He doesn't answer if I mean to text him. He answers a mistake.
Me: oh
Grandma: Don't tell him. LOVE GRANDMA
[react 😭]",Would you tell Daniel?,She keeps texting the wrong grandson by accident. Five times this month. Her phone does not explain how.,#textstory #chatstory #grandma #sad #storytime,She's been doing it for a year. 👇
2026-10-08,Dad Jokes Inc,,My dad has not slept properly in months 📺,,Dad,,sad,"Dad: Are you up. Stupid question.
Me: its 1am dad
Dad: Right. Go back to sleep.
Me: whats wrong
Dad: Nothing. Telly's on. Can't find the remote.
[typing 3]
Me: dad youve texted me at 1am four nights running
Dad: Have I.
Me: whats the actual matter
[seen]
[pause 1.5]
[boom]
Dad: House is very quiet since your mother. I put the telly on for the noise.
Me: im coming home this weekend
Dad: Bring the remote.
[react ❤️]",Would you have driven home?,"His dad texted him at one in the morning about a missing television remote. Then he did it again the next night, and the night after.",#textstory #chatstory #sad #dadtexts #storytime,Ring your dad. Tonight. 👇
2026-10-09,"Mr. Reyes, 3rd Period",,My teacher was not impressed ✍️,,Mr. Reyes,,,"Teacher: Your essay is 4,000 words.
Me: you said minimum 500
Teacher: It's about why homework should be illegal.
Me: it's persuasive
Teacher: It cites your mother.
Me: she's an expert
[typing 3]
Teacher: It also cites me. From a text you screenshotted in 2024.
[seen]
[pause 2]
Me: ...
Teacher: Where I said homework is pointless.
Me: you did say that
[boom]
Teacher: A plus. Never show the principal.
Me: deal
Teacher: You still have homework.
[react 😂]",Should homework be illegal? ✍️,"I wrote 4,000 words arguing homework should be illegal. I cited my teacher. He remembered.",#textstory #chatstory #school #teacher #funny,Best argument against homework 👇
2026-10-10,Group Chat Chaos,,Someone in my family is lying about money 💵,,Family,,,"Mom: Who left $200 in my purse.
Dad: not me
Sis: not me
Bro: i have $4
Mom: There's a note. ""For the electric bill. Don't ask.""
Dad: I didn't write that.
[pause 1.5]
Mom: I left the bill on the counter. I didn't want any of you to see.
[typing 3]
Bro: it was me
Mom: You have $4.
Bro: i had $204. i sold my switch
[boom]
Dad: I'm buying you a new one tonight.
Bro: no. im 12. i can help too.
Mom: I'm crying in the Costco parking lot.
[react ❤️]",Would you have told them? 💵,Mom found $200 and a note in her purse. Nobody in the family chat confessed. Then the 12-year-old did.,#textstory #chatstory #groupchat #family #emotional,Tell us about a kid who stepped up 👇
2026-10-11,Dog Sitter Updates,,My dog would not leave a stranger alone 💒,,Neighbor,,sad,"Neighbor: Your dog has gatecrashed a wedding.
Me: WHAT
Neighbor: Marquee on the green. He's gone straight in.
Me: im so sorry im running
Neighbor: Don't. Wait a minute.
[typing 3]
Me: is he eating the cake
Neighbor: He's sat on a woman's feet. Won't move.
[seen]
[pause 1.5]
[boom]
Neighbor: It's the bride. She's been crying since the speeches. Her dad passed in March.
Me: oh
Neighbor: She's asked if he can stay for the photos.
[react ❤️]",Do dogs know?,His dog got out and walked straight into a wedding reception on the green. The neighbour told him not to come and get him yet.,#textstory #chatstory #sad #dog #storytime,They always know. 👇
2026-10-12,Boss Texted at 11 PM,,The office printer ruined my life 🖨️,,Boss,,,"Boss: I found your resignation letter.
Me: i didn't send one
Boss: It was in the printer tray.
Me: that was a DRAFT
Boss: Come to my office.
[seen]
[pause 2]
Me: i'm outside
Boss: Come in. Sit down.
[time Twenty minutes later]
Me: i'm still shaking
[typing 3]
[boom]
Boss: The letter said you don't feel valued. You are. The raise is in your inbox.
Me: i can't believe i printed that
Boss: Neither can I. I fixed the typo in paragraph two.
[react 🔥]",Would you have gone in? 🖨️,I drafted a resignation letter and accidentally printed it. My boss found it before I did.,#textstory #chatstory #boss #work #plottwist,Worst thing you've left in a work printer? 👇
2026-10-13,Grandma Learns Texting,,My grandma still leaves him messages 💙,,Grandma,,,"Grandma: HOW DO I SEND A VOICE MESSAGE
Me: hold the mic button and talk
Grandma: IT SAYS RECORDING
Me: yes. now talk.
Grandma: I TALKED. NOTHING HAPPENED.
Me: send it to me. i'll check it works.
[typing 3]
Grandma: IT WAS FOR YOUR GRANDFATHER.
[seen]
[pause 2]
Me: grandma...
Grandma: I KNOW. I JUST WANTED TO SAY GOODNIGHT. LIKE BEFORE.
Me: send it to me. i'll listen every night.
[boom]
Grandma: IT IS 47 SECONDS. I SAID A LOT.
Me: i'll listen to all 47
Grandma: GOODNIGHT, DEAR. LOVE, GRANDMA.
[react ❤️]",Who do you still say goodnight to? 💙,Grandma wanted to learn voice messages. She had someone in mind to send the first one to.,#textstory #chatstory #grandma #emotional #storytime,Call your grandma. Then tell us how it went 👇
2026-10-14,Roommate Notes,,My flatmate has some explaining to do 🐐,,Roommate,,,"Roommate: Why is there a goat on the balcony.
Me: it's a long story
Roommate: It's eating my plants.
Me: his name is gary
Roommate: Why is Gary on our balcony.
Me: i won him
Roommate: You WON a goat.
Me: at trivia. second place was a blender.
Roommate: You should have lost.
[typing 2]
Roommate: He's looking at me.
Me: he does that
[pause 1.5]
Roommate: Can he stay till the weekend?
Me: you like him
[boom]
Roommate: He ate my ex's hoodie. He's family now.
[react 😂]",Would you keep Gary? 🐐,I won a goat at trivia night. My roommate found out when it ate his plants.,#textstory #chatstory #roommate #funny #storytime,What would you have named the goat? 👇
2026-10-15,Texts From Mom,,My mum saw someone in the garden 😨,,Mom,,,"Mom: Why is there a man in our backyard.
Me: mom i'm at school
Mom: He's just standing there.
Me: CALL THE POLICE
Mom: I'm hiding in the bathroom. He looked at the window.
[seen]
[pause 2]
Me: mom answer me
Mom: He's walking to the door.
[typing 3]
[boom]
Mom: It's your father. He locked himself out. He's been out there 20 minutes.
Me: MOM.
Mom: He's wearing a hat. 30 years married and he wears a HAT.
Me: let him in
Mom: Not with that hat.
[react 😂]",Would you let him in? 🎩,Mom texted that a man was standing in our backyard staring at the window. She hid in the bathroom.,#textstory #chatstory #momtexts #plottwist #funny,Has your mom ever not recognized your dad? 👇
